,date,num_orders
0,2020-06-01,7148
1,2020-06-02,6039
2,2020-06-03,6781
3,2020-06-04,5904
4,2020-06-05,5118
5,2020-06-06,9105
6,2020-06-07,8017
7,2020-06-08,3482
8,2020-06-09,1516
9,2020-06-10,2248
10,2020-06-11,3238
11,2020-06-12,4706
12,2020-06-13,8719
13,2020-06-14,8189
14,2020-06-15,5820
15,2020-06-16,6849
16,2020-06-17,6440
17,2020-06-18,5991
18,2020-06-19,4641
19,2020-06-20,2170
20,2020-06-21,7508
21,2020-06-22,7133
22,2020-06-23,5158
23,2020-06-24,3510
24,2020-06-25,5235
25,2020-06-26,4776
26,2020-06-27,8054
27,2020-06-28,8265
28,2020-06-29,8094
29,2020-06-30,8196
30,2020-07-01,6533
31,2020-07-02,4052
32,2020-07-03,4212
33,2020-07-04,7988
34,2020-07-05,8131
35,2020-07-06,7225
36,2020-07-07,6036
37,2020-07-08,6665
38,2020-07-09,4886
39,2020-07-10,4483
40,2020-07-11,8091
41,2020-07-12,7288
42,2020-07-13,7480
43,2020-07-14,1369
44,2020-07-15,5877
45,2020-07-16,5466
46,2020-07-17,4527
47,2020-07-18,7111
48,2020-07-19,7617
49,2020-07-20,243
50,2020-07-21,7756
51,2020-07-22,6137
52,2020-07-23,4888
53,2020-07-24,2669
54,2020-07-25,4085
55,2020-07-26,8516
56,2020-07-27,2710
57,2020-07-28,7066
58,2020-07-29,1764
59,2020-07-30,4971
60,2020-07-31,5503
61,2020-08-01,8385
62,2020-08-02,6155
63,2020-08-03,6777
64,2020-08-04,4025
65,2020-08-05,5968
66,2020-08-06,5318
67,2020-08-07,4723
68,2020-08-08,7573
69,2020-08-09,7180
70,2020-08-10,6437
71,2020-08-11,6470
72,2020-08-12,4579
73,2020-08-13,4840
74,2020-08-14,4524
75,2020-08-15,6718
76,2020-08-16,7422
77,2020-08-17,7498
78,2020-08-18,6648
79,2020-08-19,5961
80,2020-08-20,4301
81,2020-08-21,3931
82,2020-08-22,3023
83,2020-08-23,7827
84,2020-08-24,6578
85,2020-08-25,6439
86,2020-08-26,5711
87,2020-08-27,5314
88,2020-08-28,4637
89,2020-08-29,7927
90,2020-08-30,6530
91,2020-08-31,6627
92,2020-09-01,5139
93,2020-09-02,5585
94,2020-09-03,4304
95,2020-09-04,4006
96,2020-09-05,6477
97,2020-09-06,3386
98,2020-09-07,6135
99,2020-09-08,6177
100,2020-09-09,3771
101,2020-09-10,5159
102,2020-09-11,4839
103,2020-09-12,6587
104,2020-09-13,6992
105,2020-09-14,6623
106,2020-09-15,6623
107,2020-09-16,5495
108,2020-09-17,4655
109,2020-09-18,4251
110,2020-09-19,6869
111,2020-09-20,6922
112,2020-09-21,6524
113,2020-09-22,6056
114,2020-09-23,5649
115,2020-09-24,4851
116,2020-09-25,3804
117,2020-09-26,6360
118,2020-09-27,7345
119,2020-09-28,7064
120,2020-09-29,4488
121,2020-09-30,6400
122,2020-10-01,5099
123,2020-10-02,4305
124,2020-10-03,8060
125,2020-10-04,7355
126,2020-10-05,5435
127,2020-10-06,1861
128,2020-10-07,5862
129,2020-10-08,4619
130,2020-10-09,4042
131,2020-10-10,7298
132,2020-10-11,7960
133,2020-10-12,7069
134,2020-10-13,7418
135,2020-10-14,6066
136,2020-10-15,731
137,2020-10-16,4537
138,2020-10-17,8093
139,2020-10-18,7172
140,2020-10-19,7445
141,2020-10-20,6602
142,2020-10-21,6461
143,2020-10-22,4521
144,2020-10-23,4635
145,2020-10-24,3124
146,2020-10-25,7666
147,2020-10-26,4049
148,2020-10-27,7494
149,2020-10-28,6230
150,2020-10-29,5387
151,2020-10-30,4668
152,2020-10-31,6679
153,2020-11-01,2578
154,2020-11-02,8122
155,2020-11-03,5435
156,2020-11-04,1827
157,2020-11-05,905
158,2020-11-06,4944
159,2020-11-07,4688
160,2020-11-08,3750
161,2020-11-09,7132
162,2020-11-10,8051
163,2020-11-11,7039
164,2020-11-12,6123
165,2020-11-13,5647
166,2020-11-14,8910
167,2020-11-15,8802
168,2020-11-16,2692
169,2020-11-17,8623
170,2020-11-18,2360
171,2020-11-19,1883
172,2020-11-20,5472
173,2020-11-21,9862
174,2020-11-22,9123
175,2020-11-23,9412
176,2020-11-24,3650
177,2020-11-25,7436
178,2020-11-26,6840
179,2020-11-27,6222
180,2020-11-28,9139
181,2020-11-29,9535
182,2020-11-30,9069
183,2020-12-01,8664
184,2020-12-02,7701
185,2020-12-03,1597
186,2020-12-04,6376
187,2020-12-05,9268
188,2020-12-06,9222
189,2020-12-07,3664
