,itemID,num_orders
0,22665,4.0
1,28640,4.0
2,13526,279.0
3,21399,5.0
4,8504,14.0
5,32122,1.0
6,31956,1.0
7,6237,3.0
8,16971,427.0
9,18385,145.0
10,12775,83.0
11,8285,52.0
12,16238,38.0
13,29828,73.0
14,13025,12.0
15,18912,35.0
16,366,0.0
17,17432,2.0
18,4119,1.0
19,1954,3.0
20,14612,6.0
21,1373,1.0
22,2440,3.0
23,6084,1.0
24,31733,6.0
25,19652,196.0
26,7002,3.0
27,1504,31.0
28,3914,351.0
29,24190,389.0
30,7811,1.0
31,21408,3.0
32,20836,16.0
33,23438,4.0
34,2722,0.0
35,32457,15.0
36,27772,40.0
37,26813,2.0
38,19733,2.0
39,30317,15.0
40,10963,12.0
41,16219,2.0
42,16010,6.0
43,29149,37.0
44,22075,7.0
45,22480,8.0
46,21222,4.0
47,17997,1.0
48,29010,0.0
49,29270,3.0
50,29191,6.0
51,27816,10.0
52,13585,2.0
53,13331,3.0
54,9577,4.0
55,13653,59.0
56,8535,3.0
57,15811,0.0
58,18781,1.0
59,32346,162.0
60,9206,231.0
61,25833,6.0
62,12742,137.0
63,1033,96.0
64,256,2.0
65,4232,1.0
66,9860,4.0
67,15336,1.0
68,26013,2.0
69,25566,1.0
70,19233,1.0
71,30464,1.0
72,24529,12.0
73,23188,1.0
74,21393,0.0
75,22819,1.0
76,27720,5.0
77,26970,3.0
78,26024,7.0
79,19595,61.0
80,2392,5.0
81,25501,1.0
82,29683,431.0
83,18084,24.0
84,21573,58.0
85,13420,1.0
86,7610,1.0
87,819,30.0
88,31771,3.0
89,9911,41.0
90,252,1.0
91,7674,4.0
92,9634,1.0
93,11435,8.0
94,14289,69.0
95,20693,1.0
96,14790,1.0
97,26906,95.0
98,337,45.0
99,27223,35.0
100,31823,85.0
101,8290,17.0
102,4469,4.0
103,4646,10.0
104,22253,2.0
105,13811,6.0
106,2393,3.0
107,615,2.0
108,26890,0.0
109,2409,15.0
110,10319,1.0
111,9323,65.0
112,599,3.0
113,4309,7.0
114,30852,131.0
115,30942,26.0
116,31932,4.0
117,17464,7.0
118,25550,21.0
119,10223,2.0
120,7705,11.0
121,10583,1.0
122,15396,3.0
123,5762,2.0
124,21357,10.0
125,22644,5.0
126,14008,1.0
127,7257,45.0
128,23945,92.0
129,14611,1.0
130,1259,25.0
131,27970,1.0
132,4847,59.0
133,16267,1.0
134,10829,1.0
135,5398,1.0
136,21550,19.0
137,28821,0.0
138,9409,7.0
139,25598,1.0
140,1791,2.0
141,20576,1.0
142,27298,10.0
143,788,1.0
144,21015,1.0
145,31178,38.0
146,4448,3.0
147,9436,1.0
148,16445,86.0
149,29978,2.0
150,12927,6.0
151,4923,35.0
152,8839,7.0
153,21375,85.0
154,32767,2.0
155,28819,47.0
156,16343,32.0
157,31990,1.0
158,20145,74.0
159,4985,7.0
160,16538,6.0
161,15809,1.0
162,20808,7.0
163,30109,78.0
164,11979,1.0
165,4376,1.0
166,23676,2.0
167,18744,51.0
168,81,8.0
169,12137,3.0
170,26808,0.0
171,13586,114.0
172,5044,0.0
173,334,23.0
174,12095,79.0
175,10837,66.0
176,4874,11.0
177,31630,5.0
178,7190,838.0
179,7228,32.0
180,30977,2.0
181,32143,1.0
182,23181,8.0
183,25048,1.0
184,29485,2.0
185,24850,17.0
186,22541,6.0
187,4675,1.0
188,9608,11.0
189,16763,38.0
190,158,32.0
191,26609,5.0
192,26018,4.0
193,13358,1.0
194,355,1.0
195,3031,8.0
196,8263,3.0
197,31821,3.0
198,31803,227.0
199,20945,437.0
200,22143,1.0
201,4245,13.0
202,13556,55.0
203,3631,22.0
204,7459,16.0
205,29401,98.0
206,10820,10.0
207,25654,1.0
208,30633,4.0
209,6357,84.0
210,20469,43.0
211,13360,15.0
